nama,time,gazeX,gazeY,label
Aditya2,10515,262.5024,577.7784,2
Aditya2,10531,266.1696,580.4244,2
Aditya2,10547,210.8928,557.982,2
Aditya2,10564,185.6064,565.9416,2
Aditya2,10580,184.512,565.1532,2
Aditya2,10597,198.3168,607.1652,2
Aditya2,10613,233.0112,583.8588,2
Aditya2,10630,233.0112,583.8588,2
Aditya2,10646,163.0656,585.5112,2
Aditya2,10663,144.8448,592.2504,2
Aditya2,10679,138.2592,587.8764,2
Aditya2,10695,48.096,714.9924,2
Aditya2,10712,87.5136,715.3163,2
Aditya2,10728,94.6176,718.7292,2
Aditya2,10745,148.608,701.2332,2
Aditya2,10761,191.9616,680.1624,2
Aditya2,10777,195.3408,682.4736,2
Aditya2,10794,62.88,669.8052,2
Aditya2,10810,109.4976,653.7132,2
Aditya2,10827,98.9952,647.3952,2
Aditya2,10843,97.632,663.5844,2
Aditya2,10860,117.6576,628.182,2
Aditya2,10876,109.7664,623.4732,2
Aditya2,10892,73.9008,668.9412,2
Aditya2,10909,73.7088,662.418,2
Aditya2,10925,85.5936,669.1896,2
Aditya2,10942,78.0864,671.436,2
Aditya2,10958,128.4864,650.322,2
Aditya2,10975,136.5312,655.02,2
Aditya2,10991,194.4384,690.444,2
Aditya2,11008,239.4816,715.7484,2
Aditya2,11024,239.4816,715.7484,2
Aditya2,11040,276.0384,721.8828,2
Aditya2,11057,229.2288,717.8112,2
